Station,AM Peak Daily Entries,PM Peak Daily Entries
Addison Road Seat Pleasant,1647,277
Anacostia,2400,1400
Archives-Navy Mem'l,303,4758
Arlington Cemetery,17,442
Ballston-MU,3739,2975
Benning Road,1283,390
Bethesda,2627,3084
Braddock Road,2127,716
Branch Ave,3756,408
Brookland-CUA,1779,1767
Capitol Heights,1025,211
Capitol South,739,3590
Cheverly,709,125
Clarendon,1598,921
Cleveland Park,1796,606
College Park-U of Md,1565,949
Columbia Heights,3550,2915
Congress Heights,1097,402
Court House,2758,1681
Crystal City,3263,4074
Deanwood,669,219
Dunn Loring Merrifield,2137,711
Dupont Circle,3140,6541
East Falls Church,2157,511
Eastern Market,1792,1303
Eisenhower Ave,664,413
Farragut North,1009,12720
Farragut West,1186,10995
Federal Center SW,345,3240
Federal Triangle,150,4953
Foggy Bottom-GWU,2048,8624
Forest Glen,1293,227
Fort Totten,3362,1416
Franconia-Springfield,4014,726
Friendship Heights,2565,2289
Gallery Pl-Chinatown,1468,9955
Georgia Ave-Petworth,2321,1194
Glenmont,3490,451
Greenbelt,3222,721
Greensboro,156,310
Grosvenor-Strathmore,2991,624
Huntington,4521,618
Judiciary Square,391,4606
King St-Old Town,2261,2126
Landover,1092,152
Largo Town Center,2677,415
L'Enfant Plaza,2347,10813
McLean,362,372
McPherson Sq,1351,7551
Medical Center,732,2864
Metro Center,1371,12674
Minnesota Ave,870,560
Morgan Boulevard,1103,168
Mt Vernon Sq - 7th St Convention Center,999,1375
Navy Yard-Ballpark,1072,3444
Naylor Road,1375,297
New Carrollton,4495,835
NoMa-Gallaudet U,2037,3300
Pentagon,5032,5128
Pentagon City,4624,3211
Potomac Ave,1660,508
Prince George's Plaza,1876,858
Rhode Island Ave,2045,1000
Rockville,1837,826
Ronald Reagan Washington National Airport,679,1630
Rosslyn,3500,5221
Shady Grove,7238,1144
Shaw-Howard Univ,1243,1333
Silver Spring,4945,2553
Smithsonian,248,5852
Southern Ave,2825,459
Spring Hill,211,213
Stadium-Armory,965,543
Suitland,2621,840
Takoma,2579,757
Tenleytown-AU,1476,2053
Twinbrook,1913,841
Tysons Corner,286,773
U St/African-Amer Civil War Memorial/Cardozo,1638,1526
Union Station,8085,9912
Van Dorn Street,1682,316
Van Ness-UDC,2166,1389
Vienna Fairfax-GMU,6484,998
Virginia Square-GMU,1577,850
Waterfront,1120,1155
West Falls Church VT/UVA,3262,728
West Hyattsville,1790,476
Wheaton,1761,583
White Flint,1333,995
Wiehle-Reston East,2373,742
Woodley Park-Zoo Adams Morgan,2143,1464
